ts_code,trade_date,open,high,low,close,change,pct_chg,vol,amount,5MA,MACD,slowj,score,n_vol,n_amount
600559.SH,20140414,22.92,23.58,22.92,23.43,0.51,2.23,13061.79,30414.965,23.03,0.194166359,71.66848776,0.8797,-0.170391516,-0.230331553
600559.SH,20140415,23.01,23.45,22.9,22.99,-0.44,-1.88,5695.2,13165.635,23.03,0.212175514,74.93710472,0.58550364,-0.204954656,-0.277049233
600559.SH,20140416,23.21,23.3,23,23.11,0.12,0.52,3734.15,8638.527,23.03,0.233439946,69.66202063,0.437513442,-0.214155664,-0.289310346
600559.SH,20140417,23.1,23.4,22.82,22.96,-0.15,-0.65,7203.51,16699.408,22.488,0.235474017,48.84903347,0.726846041,-0.19787785,-0.267478445
600559.SH,20140418,22.85,23.1,22.58,22.72,-0.24,-1.05,9803.73,22301.072,22.488,0.215238899,31.9667154,0.527035636,-0.185677935,-0.25230703
600559.SH,20140421,22.78,22.78,21.99,22.13,-0.59,-2.6,14414.41,32034.198,22.488,0.149866782,0.187079421,0.17136759,-0.164045188,-0.22594606
600559.SH,20140422,22.03,22.29,22,22.17,0.04,0.18,4183.37,9254.857,22.488,0.100132311,-16.25190684,0.587859992,-0.212047978,-0.287641093
600559.SH,20140423,22.21,22.78,22.21,22.46,0.29,1.31,8903.92,20110.098,22.488,0.083159352,5.068774973,0.366828879,-0.189899734,-0.258241013
600559.SH,20140424,22.3,22.74,21.95,22.67,0.21,0.94,14844.98,33352.903,22.238,0.085665901,44.20284782,0.600387498,-0.162025006,-0.22237451
600559.SH,20140425,22.65,22.8,22.35,22.67,0,0,10322.76,23270.263,22.238,0.086653472,65.02237319,0.29654006,-0.18324271,-0.249682096
600559.SH,20140428,22.51,22.75,21.98,22.02,-0.65,-2.87,6389.54,14157.414,22.238,0.034587854,29.49199308,0.430605206,-0.201696898,-0.274363122
600559.SH,20140505,21.59,22.48,21.49,22.47,0.66,3.03,5782.18,12743.731,22.508,-0.040608881,60.92819748,0.2213,-0.204546557,-0.278191908
600559.SH,20140506,22.23,22.57,22.12,22.42,-0.05,-0.22,3443.37,7702.9,22.508,-0.032433495,90.00042896,0.40713257,-0.215519968,-0.291844376
600559.SH,20140507,22.24,22.75,22.08,22.43,0.01,0.04,5218,11716.694,22.508,-0.024860945,108.7791914,0.483818883,-0.207193621,-0.280973511
600559.SH,20140508,22.64,22.85,22.43,22.61,0.18,0.8,5648.91,12820.115,22.508,-0.004285746,91.22107469,0.648302789,-0.205171844,-0.277985031
600559.SH,20140509,22.55,22.9,22.21,22.61,0,0,3845.25,8691.078,22.508,0.011883265,83.27471822,0.639681921,-0.213634396,-0.289168018
600559.SH,20140513,23.07,23.4,22.9,23.08,-0.01,-0.04,5371.18,12420.074,22.556,0.101012896,89.47111416,0.6627,-0.206474919,-0.279068493
600559.SH,20140514,23.1,23.13,22.52,22.56,-0.52,-2.25,4787.73,10904.779,22.556,0.088392428,66.69181098,0.438917142,-0.209212395,-0.283172483
600559.SH,20140521,21.59,21.96,21.42,21.88,0.28,1.3,2858,6222.636,21.768,-0.138133818,9.120627051,0.533292041,-0.218266452,-0.295853489
600559.SH,20140522,21.99,21.99,21.8,21.8,-0.08,-0.37,2523.16,5523.145,21.768,-0.157040301,21.93134773,0.48996973,-0.219837481,-0.297747974
600559.SH,20140523,21.73,21.95,21.71,21.91,0.11,0.5,2292.88,4997.961,21.768,-0.161288511,33.182043,0.365193426,-0.220917926,-0.29917037
600559.SH,20140526,21.91,22.06,21.75,21.95,0.04,0.18,3870.88,8478.652,21.672,-0.159587952,33.04740664,0.597251602,-0.213514143,-0.289743348
600559.SH,20140527,21.9,22,21.48,21.52,-0.43,-1.96,6156.43,13339.418,21.672,-0.190738933,19.56596329,0.402540831,-0.202790622,-0.276578563
600559.SH,20140528,21.53,21.87,21.48,21.86,0.34,1.58,4189.29,9116.613,21.672,-0.185848803,34.25080171,0.657226138,-0.212020202,-0.288015509
600559.SH,20140529,21.91,21.91,21.43,21.51,-0.35,-1.6,5372.54,11588.826,21.672,-0.207819797,16.30648811,0.522707381,-0.206468538,-0.281319826
600559.SH,20140530,21.41,21.53,21.37,21.52,0.01,0.05,2405.12,5157.327,21.672,-0.221867501,26.31673268,0.527652777,-0.22039131,-0.298738747
600559.SH,20140603,21.52,21.65,21.38,21.49,-0.03,-0.14,3103.61,6658.751,20.748,-0.232738294,7.663969196,0.687354126,-0.21711408,-0.294672325
600559.SH,20140604,21.36,21.41,20.79,20.82,-0.67,-3.12,5212.52,10941.95,20.748,-0.292050303,3.999896193,0.509973986,-0.207219332,-0.283071809
600559.SH,20140605,20.8,20.84,20.03,20.65,-0.17,-0.82,16955.13,34601.329,20.748,-0.348752871,18.71017909,0.364427737,-0.15212444,-0.218993303
600559.SH,20140606,20.66,20.71,20.24,20.61,-0.04,-0.19,7715.51,15731.712,20.748,-0.392394451,27.41694395,0.227570292,-0.195475609,-0.27009933
600559.SH,20140618,20.5,20.52,20.3,20.38,-0.14,-0.68,4368.46,8899.503,20.238,-0.454119358,76.12163806,0.4969,-0.211179559,-0.288603525
600559.SH,20140619,20.32,20.5,19.98,20.01,-0.37,-1.82,5347.33,10756.944,20.238,-0.47403955,22.9262513,0.741109372,-0.20658682,-0.283572875
600559.SH,20140620,19.98,20.25,19.98,20.12,0.11,0.55,2808.87,5635.662,20.238,-0.475469449,-1.781772312,0.748883941,-0.218496964,-0.297443235
600559.SH,20140623,20.16,20.3,20.13,20.16,0.04,0.2,2738.37,5534.881,20.238,-0.467980401,-4.058956916,0.704786006,-0.218827742,-0.297716188
600559.SH,20140624,20.03,21.19,20.03,20.65,0.49,2.43,13068.05,27175.521,20.626,-0.417691485,45.78812241,0.512604231,-0.170362145,-0.239105187
600559.SH,20140625,20.49,20.59,20.31,20.33,-0.32,-1.55,5674.99,11588.284,20.626,-0.399058386,47.45488278,0.483590419,-0.205049479,-0.281321294
600559.SH,20140626,20.35,20.61,20.22,20.27,-0.06,-0.3,6145.13,12560.453,20.626,-0.384698454,39.29049306,0.428687062,-0.20284364,-0.278688294
600559.SH,20140627,20.4,20.93,20.23,20.91,0.64,3.16,12212.33,25349.984,20.626,-0.318009637,53.68227732,0.398797774,-0.174377078,-0.244049428
600559.SH,20140630,20.93,21.4,20.76,20.97,0.06,0.29,9126.05,19224.075,20.626,-0.257350197,79.75335946,0.493818661,-0.188857527,-0.260640697
600559.SH,20140701,20.93,21.1,20.32,20.8,-0.17,-0.81,9088.38,18821.506,20.94,-0.220453483,92.18626728,0.372487587,-0.18903427,-0.261731005
600559.SH,20140702,20.83,21.2,20.61,21.18,0.38,1.83,12417.23,26012.801,20.94,-0.15872012,81.56274654,0.469891112,-0.173415713,-0.24225427
600559.SH,20140703,21.35,21.4,20.88,20.97,-0.21,-0.99,5918.79,12434.682,20.94,-0.125296886,71.49715233,0.404223167,-0.2039056,-0.279028929
600559.SH,20140704,21,21.06,20.67,20.85,-0.12,-0.57,9644.31,20042.327,20.94,-0.107255356,71.68248746,0.378339711,-0.186425915,-0.258424562
600559.SH,20140707,20.77,21.05,20.77,20.9,0.05,0.24,3802.07,7927.426,20.94,-0.087909367,50.55313253,0.2365,-0.213836991,-0.291236276
600559.SH,20140708,20.8,20.87,20.6,20.69,-0.21,-1,9567.31,19779.441,20.784,-0.088502573,33.67161745,0.605499371,-0.186787189,-0.259136556
600559.SH,20140709,20.7,20.8,20.5,20.56,-0.13,-0.63,5656.55,11658.426,20.784,-0.098329131,21.42527333,0.669626558,-0.205135998,-0.281131323
600559.SH,20140710,20.54,20.59,20.35,20.36,-0.2,-0.97,6255.37,12783.494,20.784,-0.120861856,-7.0859346,0.503661101,-0.202326407,-0.278084215
600559.SH,20140711,20.31,20.58,20.3,20.51,0.15,0.74,4872.26,9955.786,20.784,-0.125172546,-4.200667157,0.552444177,-0.20881579,-0.285742713
600559.SH,20140715,21.65,23.98,21.53,23.1,1.3,5.96,73289.83,170452.96,23.274,0.158858169,99.71602561,0.456274384,0.112191092,0.148944066
