,阅读量,回复量,新闻,日期
374,191,1,舍得，比这个垃圾强太多,12-10 17:12
375,388,1,现在这个状态，应该是你吃饱了，应该是40＋,12-10 17:09
376,360,1,地摊酒就是垃圾，市值连人家零头都没有！,12-10 17:08
377,197,1,市值竟然比安徽的口子窖、迎驾贡酒还低，垃圾玩意！,12-10 17:08
378,1047,16,今天上24妥妥的[微笑],12-10 17:04
379,316,1,每天都是一上午赚几千下午亏几千，我都无语了,12-10 17:01
380,6220,49,我给大家讲讲昨天的故事。七天前卖出去了老白干，换成了青岛银行；昨天涨停板撤离的青,12-10 16:44
381,673,6,强势股，今天算盘中调整，明天继续上扬[大笑][上涨][上涨][上涨],12-10 16:42
382,4191,34,小散跑，主力承接之前的套牢位，再创新高。奥利给给了，这波能上25不？大家踊跃发表,12-10 16:40
383,242,0,尾盘卖半仓！明天看情况！先锁一半利润！明天进退找机会！,12-10 16:40
384,236,1,明天感觉又是一波闷杀,12-10 16:34
385,202,0,还以为今天涨停,12-10 16:33
386,14006,142,今天来告诉大家：可怕的的成交量代表着什么？既然股价运行到高位！说明主力已经高度控,12-10 16:32
387,244,1,河北股，大家好自为之,12-10 16:32
388,588,3,明天会不会跌,12-10 16:30
389,678,4,股市中的盈利注定不是成比例的，就像青啤十年不涨，现一口气涨三倍，冲击百元。老白干,12-10 16:12
390,212,0,明天到大金融了，感谢老白干,12-10 16:11
391,810,15,21元进入酿酒龙头老白干酒战斗,12-10 16:03
392,1530,9,通过这几天发现老白干的趋势涨的非常的好，发现很多人说亏钱的，哎好多人拿不住筹码怎,12-10 16:01
393,190,0,缺点老白干跟风青稞酒，吃八分饱走了,12-10 16:00
394,255,0,老白干20以下可以搞，23还敢买进的只能说你真有勇气啊，22-23是出手的价格,12-10 16:00
395,198,1,居然站在了历史新高的山顶上！好冷啊！,12-10 15:55
396,406,0,老白干酒：主力资金净流出2224.39万元，净占比-0.66%（12-10）,12-10 15:53
397,492,7,跟了几个涨停有知道生产的酒叫什么吗去买一箱尝尝,12-10 15:51
398,215,0,强大，你最强大，散户越怕你越涨，风险和利益同等，你敢赌就赢了，也许输得一塌煳涂,12-10 15:46
399,184,2,哎，自己作死，低位出高位接,12-10 15:45
400,816,9,机构锁仓金叉，你们有什么好怕的，继续持有就行了，这周到24，下周到27,12-10 15:45
401,374,0,今天完全是因为茅台跳水引起的！庄家尾盘拉起来不知道明天想干嘛！大盘现在还没到底，,12-10 15:44
402,609,9,我买的金种子干不过老白干，我又买了老白干又干不过金种子[大笑],12-10 15:43
